ID,Response,obs,Mean,Low,High,p_UB_Anova,SubGroup,TopGroup
3,BD_C,186,-0.006099891,-0.014110842,0.001552548,0.0124,Boreal,Climate
4,OC_C,114,0.059462946,0.021721254,0.097742565,0.007,Tropical,Climate
4,OC_C,40,0.16461066,0.109993024,0.223540066,0.007,Arid,Climate
4,OC_C,761,0.086900413,0.074410732,0.09943373,0.007,Temperate,Climate
4,OC_C,280,0.075102646,0.058559211,0.092340121,0.007,Boreal,Climate
5,N_C,130,0.120382174,0.073870117,0.16834332,0,Tropical,Climate
5,N_C,67,-0.267026381,-0.379863162,-0.157079831,0,Arid,Climate
5,N_C,546,0.05943258,0.012707103,0.104502088,0,Temperate,Climate
5,N_C,506,-0.097995636,-0.139293487,-0.056314302,0,Boreal,Climate
6,P_C,86,-0.091820429,-0.190229465,0.005747318,0.0943,Tropical,Climate
6,P_C,16,0.179295938,0.002851977,0.352230672,0.0943,Arid,Climate
6,P_C,80,0.053357473,-0.061776334,0.172083315,0.0943,Temperate,Climate
6,P_C,149,0.081954968,-0.019052246,0.183486641,0.0943,Boreal,Climate
7,K_C,14,0.224159613,0.019555022,0.425781503,1.00E-04,Tropical,Climate
7,K_C,22,0.207303461,0.068575247,0.345313284,1.00E-04,Arid,Climate
7,K_C,64,0.054065866,-0.038490869,0.145318863,1.00E-04,Temperate,Climate
7,K_C,81,-0.109192544,-0.173935778,-0.043381321,1.00E-04,Boreal,Climate
8,pH_C,25,0.051557094,0.010051832,0.091605965,4.00E-04,Tropical,Climate
8,pH_C,17,-0.021902335,-0.037793061,-0.005535726,4.00E-04,Arid,Climate
8,pH_C,104,0.000255594,-0.011312756,0.011847727,4.00E-04,Temperate,Climate
8,pH_C,105,0.017003116,0.007588045,0.026414572,4.00E-04,Boreal,Climate
9,CEC_C,8,0.266810321,0.172384211,0.364138045,0.0794,Tropical,Climate
9,CEC_C,13,0.084387893,0.030602523,0.140438839,0.0794,Arid,Climate
9,CEC_C,47,0.068723522,0.011469451,0.126617665,0.0794,Temperate,Climate
9,CEC_C,15,0.048653737,-0.070556476,0.164481008,0.0794,Boreal,Climate
10,EC_C,0,NA,NA,NA,0.6468,Tropical,Climate
10,EC_C,17,0.149544644,-0.096093458,0.398796387,0.6468,Arid,Climate
10,EC_C,25,0.014706848,-0.152505695,0.179984394,0.6468,Temperate,Climate
10,EC_C,9,0.145997266,-0.202210765,0.493197265,0.6468,Boreal,Climate
11,BS_C,4,-0.158958887,-0.227308808,-0.090608967,0.0023,Tropical,Climate
11,BS_C,0,NA,NA,NA,0.0023,Arid,Climate
11,BS_C,6,0.05252394,-0.000389521,0.105437401,0.0023,Temperate,Climate
11,BS_C,0,NA,NA,NA,0.0023,Boreal,Climate
12,Aggre_C,0,NA,NA,NA,0.0178,Tropical,Climate
12,Aggre_C,31,0.042342756,-0.103266707,0.19186225,0.0178,Arid,Climate
12,Aggre_C,116,0.183743264,0.123112043,0.245997129,0.0178,Temperate,Climate
12,Aggre_C,115,0.092512455,0.058157775,0.12695782,0.0178,Boreal,Climate
13,Porosity_C,0,NA,NA,NA,0.9618,Tropical,Climate
13,Porosity_C,4,0.111630073,0.011980825,0.211279321,0.9618,Arid,Climate
13,Porosity_C,49,0.115869718,-0.010831503,0.243153813,0.9618,Temperate,Climate
13,Porosity_C,32,0.107893211,-0.030492125,0.24963301,0.9618,Boreal,Climate
14,Penetration_C,0,NA,NA,NA,0.5284,Tropical,Climate
14,Penetration_C,0,NA,NA,NA,0.5284,Arid,Climate
14,Penetration_C,52,0.079784341,-0.001643104,0.163693769,0.5284,Temperate,Climate
14,Penetration_C,104,0.048354432,0.013865952,0.083858546,0.5284,Boreal,Climate
15,Infiltration_C,10,0.502961666,0.361254094,0.640951378,0.897,Tropical,Climate
15,Infiltration_C,0,NA,NA,NA,0.897,Arid,Climate
15,Infiltration_C,25,0.589487688,0.401480539,0.76795477,0.897,Temperate,Climate
15,Infiltration_C,7,0.544649889,-0.354794878,1.46988057,0.897,Boreal,Climate
16,Ksat_C,0,NA,NA,NA,0.0315,Tropical,Climate
16,Ksat_C,4,0.047347418,-0.183213498,0.277908333,0.0315,Arid,Climate
16,Ksat_C,46,1.072861128,0.680724963,1.469812032,0.0315,Temperate,Climate
16,Ksat_C,8,-0.033408317,-0.610251191,0.597498908,0.0315,Boreal,Climate
17,Erosion_C,0,NA,NA,NA,0.0363,Tropical,Climate
17,Erosion_C,4,-1.044060304,-1.42650406,-0.661616548,0.0363,Arid,Climate
17,Erosion_C,72,-1.53265844,-1.879717748,-1.194007629,0.0363,Temperate,Climate
17,Erosion_C,7,-0.126592411,-0.459656184,0.210527057,0.0363,Boreal,Climate
18,Runoff_C,0,NA,NA,NA,NA,Tropical,Climate
18,Runoff_C,0,NA,NA,NA,NA,Arid,Climate
18,Runoff_C,120,-1.321465843,-1.552496458,-1.105599229,NA,Temperate,Climate
18,Runoff_C,0,NA,NA,NA,NA,Boreal,Climate
19,Leaching_C,2,0.118297457,-0.077488328,0.314083242,0.3545,Tropical,Climate
19,Leaching_C,0,NA,NA,NA,0.3545,Arid,Climate
19,Leaching_C,212,-0.920391344,-1.142315229,-0.69848702,0.3545,Temperate,Climate
19,Leaching_C,53,-1.186552003,-1.499312948,-0.877095588,0.3545,Boreal,Climate
20,ST_C,0,NA,NA,NA,0.0676,Tropical,Climate
20,ST_C,0,NA,NA,NA,0.0676,Arid,Climate
20,ST_C,22,-0.085493375,-0.106002705,-0.064524789,0.0676,Temperate,Climate
20,ST_C,23,-0.030073218,-0.074556605,0.014911234,0.0676,Boreal,Climate
21,SWC_C,8,0.060323796,0.020871885,0.098759765,0,Tropical,Climate
21,SWC_C,30,-0.217781682,-0.271939806,-0.162092482,0,Arid,Climate
21,SWC_C,220,0.042662348,0.013766292,0.07249305,0,Temperate,Climate
21,SWC_C,194,-0.001045708,-0.032311791,0.029617616,0,Boreal,Climate
22,AWHC_C,1,0,0,0,0,Tropical,Climate
22,AWHC_C,18,-0.332741514,-0.379202032,-0.285435119,0,Arid,Climate
22,AWHC_C,13,-0.05937227,-0.160425476,0.039655518,0,Temperate,Climate
22,AWHC_C,43,-0.015745226,-0.075381216,0.04395488,0,Boreal,Climate
23,Weed_C,6,-0.739975496,-1.104046057,-0.374983722,0.092,Tropical,Climate
23,Weed_C,0,NA,NA,NA,0.092,Arid,Climate
23,Weed_C,97,-0.314795442,-0.678624827,0.049192459,0.092,Temperate,Climate
23,Weed_C,178,-0.75450175,-0.968241447,-0.539195027,0.092,Boreal,Climate
24,Diseases_C,0,NA,NA,NA,0.0872,Tropical,Climate
24,Diseases_C,0,NA,NA,NA,0.0872,Arid,Climate
24,Diseases_C,16,-0.449715343,-0.663491396,-0.238262328,0.0872,Temperate,Climate
24,Diseases_C,4,-0.015777291,-0.046406553,0.01485197,0.0872,Boreal,Climate
25,Pests_C,0,NA,NA,NA,0.7209,Tropical,Climate
25,Pests_C,0,NA,NA,NA,0.7209,Arid,Climate
25,Pests_C,53,-0.009495622,-0.218851571,0.196025507,0.7209,Temperate,Climate
25,Pests_C,4,0.197519665,-0.185285593,0.580324922,0.7209,Boreal,Climate
26,SoilFauna_C,0,NA,NA,NA,0.0283,Tropical,Climate
26,SoilFauna_C,0,NA,NA,NA,0.0283,Arid,Climate
26,SoilFauna_C,29,0.511010167,0.236331568,0.780594051,0.0283,Temperate,Climate
26,SoilFauna_C,25,0.098560407,-0.082520596,0.274695303,0.0283,Boreal,Climate
27,Fungal_C,7,0.763074771,0.533401296,0.997604666,0.0414,Tropical,Climate
27,Fungal_C,0,NA,NA,NA,0.0414,Arid,Climate
27,Fungal_C,39,0.323475908,0.21055578,0.434382145,0.0414,Temperate,Climate
27,Fungal_C,50,0.392418905,0.257643483,0.52627362,0.0414,Boreal,Climate
28,OtherMicrobial_C,7,0.600298954,0.500371285,0.69637866,0,Tropical,Climate
28,OtherMicrobial_C,0,NA,NA,NA,0,Arid,Climate
28,OtherMicrobial_C,95,0.241262748,0.167917036,0.314029774,0,Temperate,Climate
28,OtherMicrobial_C,72,0.074942052,0.062886284,0.086722629,0,Boreal,Climate
29,Enzyme_C,7,0.620499473,0.530290477,0.716231914,0,Tropical,Climate
29,Enzyme_C,0,NA,NA,NA,0,Arid,Climate
29,Enzyme_C,125,0.132229959,0.084152153,0.179097192,0,Temperate,Climate
29,Enzyme_C,34,0.057200632,0.028698909,0.08502486,0,Boreal,Climate
30,Cmina_C,0,NA,NA,NA,0.001,Tropical,Climate
30,Cmina_C,0,NA,NA,NA,0.001,Arid,Climate
30,Cmina_C,42,0.226974737,0.127694812,0.323580138,0.001,Temperate,Climate
30,Cmina_C,78,0.085298514,0.058567805,0.112151034,0.001,Boreal,Climate
31,Nmina_C,14,0.103842782,-0.071487294,0.281447468,0.0772,Tropical,Climate
31,Nmina_C,31,0.285670731,0.043126204,0.527463521,0.0772,Arid,Climate
31,Nmina_C,128,0.237158813,0.178219703,0.29503999,0.0772,Temperate,Climate
31,Nmina_C,115,0.107723913,0.019802715,0.196824439,0.0772,Boreal,Climate
32,NxO_C,0,NA,NA,NA,0.446,Tropical,Climate
32,NxO_C,0,NA,NA,NA,0.446,Arid,Climate
32,NxO_C,26,0.360694229,0.121490165,0.601688944,0.446,Temperate,Climate
32,NxO_C,4,0.126734371,-0.003373903,0.256842646,0.446,Boreal,Climate
33,SIR_C,0,NA,NA,NA,NA,Tropical,Climate
33,SIR_C,0,NA,NA,NA,NA,Arid,Climate
33,SIR_C,17,-0.191676139,-0.252770651,-0.127948832,NA,Temperate,Climate
33,SIR_C,0,NA,NA,NA,NA,Boreal,Climate
34,CO2BTest_C,0,NA,NA,NA,0.5579,Tropical,Climate
34,CO2BTest_C,8,0.065141908,-0.275040227,0.404380095,0.5579,Arid,Climate
34,CO2BTest_C,30,0.041718911,-0.146774367,0.228615944,0.5579,Temperate,Climate
34,CO2BTest_C,68,0.136239835,0.075305409,0.196860059,0.5579,Boreal,Climate
35,CO2_C,0,NA,NA,NA,0.4049,Tropical,Climate
35,CO2_C,0,NA,NA,NA,0.4049,Arid,Climate
35,CO2_C,33,0.286643749,0.144160932,0.425404495,0.4049,Temperate,Climate
35,CO2_C,10,0.438822235,0.104703787,0.774014283,0.4049,Boreal,Climate
36,CH4_C,0,NA,NA,NA,0,Tropical,Climate
36,CH4_C,0,NA,NA,NA,0,Arid,Climate
36,CH4_C,21,0.528936425,0.411549344,0.643509761,0,Temperate,Climate
36,CH4_C,4,1.393522485,0.892310441,1.89473453,0,Boreal,Climate
37,MBC_C,6,0.390296785,0.216139076,0.556009539,5.00E-04,Tropical,Climate
37,MBC_C,16,0.228246988,0.080775345,0.366026215,5.00E-04,Arid,Climate
37,MBC_C,136,0.133159861,0.073015146,0.193780539,5.00E-04,Temperate,Climate
37,MBC_C,159,0.321874293,0.258248684,0.385069174,5.00E-04,Boreal,Climate
38,MBN_C,0,NA,NA,NA,0.1601,Tropical,Climate
38,MBN_C,22,0.108865605,-0.076722241,0.29243124,0.1601,Arid,Climate
38,MBN_C,87,0.230494581,0.151970418,0.305867482,0.1601,Temperate,Climate
38,MBN_C,74,0.274952104,0.217846638,0.331362043,0.1601,Boreal,Climate
1,BiomassCash_C,39,0.249431446,0.063371087,0.43902681,3.00E-04,Coarse,Texture
1,BiomassCash_C,119,0.025975106,-0.009609804,0.06078362,3.00E-04,Medium,Texture
1,BiomassCash_C,70,0.187774711,0.099480259,0.275790891,3.00E-04,Fine,Texture
2,Yield_C,405,0.115224475,0.0553641,0.175210345,0.0023,Coarse,Texture
2,Yield_C,555,0.017341728,-0.008460182,0.042762102,0.0023,Medium,Texture
2,Yield_C,267,0.01621883,-0.037422805,0.071450692,0.0023,Fine,Texture
3,BD_C,237,-0.007432171,-0.011403619,-0.003355069,0.0023,Coarse,Texture
3,BD_C,358,-0.009987468,-0.015519597,-0.004483068,0.0023,Medium,Texture
3,BD_C,50,-0.032206807,-0.043879209,-0.021137017,0.0023,Fine,Texture
4,OC_C,375,0.088043146,0.072559898,0.104175174,0.0098,Coarse,Texture
4,OC_C,488,0.081821554,0.066811106,0.096862064,0.0098,Medium,Texture
4,OC_C,163,0.12919503,0.095740699,0.162174926,0.0098,Fine,Texture
5,N_C,294,0.156599617,0.113643132,0.196803988,0,Coarse,Texture
5,N_C,634,-0.133119405,-0.179164224,-0.085903123,0,Medium,Texture
5,N_C,154,0.124181698,0.066024385,0.18331508,0,Fine,Texture
6,P_C,48,-0.06641658,-0.193554184,0.062875749,0.0073,Coarse,Texture
6,P_C,139,0.043352356,-0.021578496,0.109427893,0.0073,Medium,Texture
6,P_C,45,0.311390676,0.029580181,0.59758997,0.0073,Fine,Texture
7,K_C,46,0.048786102,-0.075493312,0.163389254,0.0124,Coarse,Texture
7,K_C,90,-0.069144895,-0.136585078,0.000335988,0.0124,Medium,Texture
7,K_C,13,0.221619891,0.085254292,0.357082667,0.0124,Fine,Texture
8,pH_C,44,0.000592347,-0.015951177,0.01683478,0.0277,Coarse,Texture
8,pH_C,111,0.007717959,-0.000837544,0.016196062,0.0277,Medium,Texture
8,pH_C,44,0.035671617,0.006563422,0.064115929,0.0277,Fine,Texture
9,CEC_C,20,0.242467618,0.16585283,0.31940216,0,Coarse,Texture
9,CEC_C,22,0.001349165,-0.073909718,0.074372254,0,Medium,Texture
9,CEC_C,16,-0.001371286,-0.080842901,0.075766676,0,Fine,Texture
10,EC_C,4,-0.228260359,-0.660335892,0.203815174,0.1528,Coarse,Texture
10,EC_C,15,0.228495344,-0.045403005,0.507072552,0.1528,Medium,Texture
10,EC_C,6,-0.230339479,-0.551937824,0.0707326,0.1528,Fine,Texture
11,BS_C,0,NA,NA,NA,0.1073,Coarse,Texture
11,BS_C,3,0.082396442,-0.016205045,0.18099793,0.1073,Medium,Texture
11,BS_C,7,-0.085169959,-0.167983943,0.000127464,0.1073,Fine,Texture
12,Aggre_C,35,-0.032334947,-0.100629007,0.036773648,0,Coarse,Texture
12,Aggre_C,178,0.137968238,0.093013072,0.182439692,0,Medium,Texture
12,Aggre_C,28,0.32672239,0.20645523,0.448079749,0,Fine,Texture
13,Porosity_C,10,0.254741454,0.01393632,0.501798726,0.25,Coarse,Texture
13,Porosity_C,72,0.084144284,-0.015887426,0.183029012,0.25,Medium,Texture
13,Porosity_C,0,NA,NA,NA,0.25,Fine,Texture
14,Penetration_C,4,-0.094416773,-0.128581664,-0.060251882,0.2755,Coarse,Texture
14,Penetration_C,144,0.064747117,0.026572778,0.102365295,0.2755,Medium,Texture
14,Penetration_C,4,0.165385257,0.141705473,0.189065041,0.2755,Fine,Texture
15,Infiltration_C,10,0.478250571,0.306073501,0.655958783,0.7165,Coarse,Texture
15,Infiltration_C,21,0.634004438,0.268321334,1.008265403,0.7165,Medium,Texture
15,Infiltration_C,11,0.449247373,0.3741677,0.52530529,0.7165,Fine,Texture
16,Ksat_C,3,0.042518821,-0.036984184,0.122021827,0.2884,Coarse,Texture
16,Ksat_C,55,0.889893323,0.539420213,1.238138272,0.2884,Medium,Texture
16,Ksat_C,0,NA,NA,NA,0.2884,Fine,Texture
17,Erosion_C,0,NA,NA,NA,0.1653,Coarse,Texture
17,Erosion_C,68,-1.419068196,-1.774062046,-1.071239797,0.1653,Medium,Texture
17,Erosion_C,3,-0.212088909,-0.654925968,0.230748151,0.1653,Fine,Texture
18,Runoff_C,0,NA,NA,NA,0.6684,Coarse,Texture
18,Runoff_C,103,-1.386624044,-1.642324897,-1.133122329,0.6684,Medium,Texture
18,Runoff_C,2,-1.791373518,-1.819158443,-1.763588592,0.6684,Fine,Texture
19,Leaching_C,27,-0.284269646,-0.426573457,-0.142553412,0.0228,Coarse,Texture
19,Leaching_C,185,-1.215048814,-1.469855299,-0.957186617,0.0228,Medium,Texture
19,Leaching_C,4,-0.617744976,-1.104977165,-0.130512788,0.0228,Fine,Texture
20,ST_C,0,NA,NA,NA,0.1729,Coarse,Texture
20,ST_C,41,-0.052540128,-0.079969947,-0.025723795,0.1729,Medium,Texture
20,ST_C,2,-0.146491077,-0.199019683,-0.093962471,0.1729,Fine,Texture
21,SWC_C,28,-0.007433144,-0.080354068,0.065203298,0.7969,Coarse,Texture
21,SWC_C,381,0.004830415,-0.017259137,0.02712431,0.7969,Medium,Texture
21,SWC_C,42,0.029602409,-0.044641772,0.107176068,0.7969,Fine,Texture
22,AWHC_C,0,NA,NA,NA,0.6566,Coarse,Texture
22,AWHC_C,68,-0.100113574,-0.153394093,-0.047947849,0.6566,Medium,Texture
22,AWHC_C,1,0,0,0,0.6566,Fine,Texture
23,Weed_C,22,-1.648683792,-2.030086849,-1.253769569,2.00E-04,Coarse,Texture
23,Weed_C,220,-0.580494301,-0.750696456,-0.408247892,2.00E-04,Medium,Texture
23,Weed_C,0,NA,NA,NA,2.00E-04,Fine,Texture
24,Diseases_C,0,NA,NA,NA,NA,Coarse,Texture
24,Diseases_C,9,-0.493117129,-0.877312182,-0.124428102,NA,Medium,Texture
24,Diseases_C,0,NA,NA,NA,NA,Fine,Texture
25,Pests_C,4,0.197519665,-0.185285593,0.580324922,0.2635,Coarse,Texture
25,Pests_C,20,0.563074787,0.26446027,0.868130433,0.2635,Medium,Texture
25,Pests_C,0,NA,NA,NA,0.2635,Fine,Texture
26,SoilFauna_C,16,0.022359718,-0.193080223,0.231788298,0.0322,Coarse,Texture
26,SoilFauna_C,25,0.523540321,0.215809902,0.834307438,0.0322,Medium,Texture
26,SoilFauna_C,4,0.89456958,0.382952751,1.406186408,0.0322,Fine,Texture
27,Fungal_C,6,0.241465241,0.060381797,0.42473916,0,Coarse,Texture
27,Fungal_C,46,0.190027705,0.086101823,0.293525865,0,Medium,Texture
27,Fungal_C,44,0.629473248,0.509894581,0.75137036,0,Fine,Texture
28,OtherMicrobial_C,38,0.168272665,0.095303509,0.239379012,0,Coarse,Texture
28,OtherMicrobial_C,89,0.046769422,0.016314797,0.077205398,0,Medium,Texture
28,OtherMicrobial_C,45,0.463686502,0.362116551,0.566206559,0,Fine,Texture
29,Enzyme_C,31,0.278169212,0.191769672,0.359528692,0.0033,Coarse,Texture
29,Enzyme_C,91,0.120119012,0.071122238,0.167119352,0.0033,Medium,Texture
29,Enzyme_C,44,0.078889414,-0.010158624,0.165952624,0.0033,Fine,Texture
30,Cmina_C,13,0.189192123,0.030637771,0.348509861,0.2633,Coarse,Texture
30,Cmina_C,89,0.13659611,0.093464148,0.181621743,0.2633,Medium,Texture
30,Cmina_C,13,0.034350943,-0.079729171,0.14973758,0.2633,Fine,Texture
31,Nmina_C,104,0.095571928,-0.002076952,0.19422481,0.0501,Coarse,Texture
31,Nmina_C,94,0.259029886,0.181784563,0.336983316,0.0501,Medium,Texture
31,Nmina_C,62,0.174421132,0.065175427,0.284153263,0.0501,Fine,Texture
32,NxO_C,4,-0.258172894,-0.345271003,-0.171074785,0,Coarse,Texture
32,NxO_C,3,0.049111155,-0.088107268,0.186329578,0,Medium,Texture
32,NxO_C,19,0.587255582,0.454350566,0.727649801,0,Fine,Texture
33,SIR_C,0,NA,NA,NA,NA,Coarse,Texture
33,SIR_C,2,0,0,0,NA,Medium,Texture
33,SIR_C,0,NA,NA,NA,NA,Fine,Texture
34,CO2BTest_C,8,-0.167776429,-0.479125745,0.131823572,0.0731,Coarse,Texture
34,CO2BTest_C,65,0.145951935,0.047159153,0.244665115,0.0731,Medium,Texture
34,CO2BTest_C,33,0.092263154,0.011792087,0.170141032,0.0731,Fine,Texture
35,CO2_C,10,0.020215545,-0.189037364,0.247460253,0.0621,Coarse,Texture
35,CO2_C,18,0.468850387,0.258418129,0.685881628,0.0621,Medium,Texture
35,CO2_C,14,0.310816813,0.090912475,0.5304843,0.0621,Fine,Texture
36,CH4_C,0,NA,NA,NA,0.0045,Coarse,Texture
36,CH4_C,6,1.203848245,0.739846312,1.671713947,0.0045,Medium,Texture
36,CH4_C,16,0.569344659,0.441518987,0.698893863,0.0045,Fine,Texture
37,MBC_C,46,0.006555766,-0.087657064,0.101392276,0,Coarse,Texture
37,MBC_C,176,0.329188797,0.261018677,0.395049899,0,Medium,Texture
37,MBC_C,84,0.172481664,0.135164939,0.209659417,0,Fine,Texture
38,MBN_C,44,0.154260298,0.078465537,0.230604378,0.0279,Coarse,Texture
38,MBN_C,81,0.30092997,0.227525967,0.374838932,0.0279,Medium,Texture
38,MBN_C,47,0.161345521,0.055976063,0.262279204,0.0279,Fine,Texture
1,BiomassCash_C,25,0.027296161,-0.015444324,0.069192744,0.345,CT,Tillage
1,BiomassCash_C,12,0.007920725,-0.013332594,0.029170645,0.345,RT,Tillage
1,BiomassCash_C,40,0.05048212,0.001343273,0.099943304,0.345,NT,Tillage
1,BiomassCash_C,195,0.120017353,0.061938176,0.174893395,0.345,NotAvailable,Tillage
2,Yield_C,168,0.086929058,0.03817375,0.133921359,0.3092,CT,Tillage
2,Yield_C,11,-0.043001584,-0.08737747,0.001183604,0.3092,RT,Tillage
2,Yield_C,239,0.004440583,-0.029032817,0.036878557,0.3092,NT,Tillage
2,Yield_C,1121,0.0605445,0.027528823,0.092840172,0.3092,NotAvailable,Tillage
3,BD_C,205,-0.005963161,-0.010864315,-0.000594081,0.0022,CT,Tillage
3,BD_C,14,-0.032816422,-0.087604418,0.024092857,0.0022,RT,Tillage
3,BD_C,169,-0.002731464,-0.010103525,0.004781331,0.0022,NT,Tillage
3,BD_C,311,-0.018108316,-0.024518859,-0.011769808,0.0022,NotAvailable,Tillage
4,OC_C,294,0.077697988,0.059584695,0.095975066,0.1024,CT,Tillage
4,OC_C,17,0.187886045,0.117420183,0.258022142,0.1024,RT,Tillage
4,OC_C,271,0.085982059,0.067113606,0.105641419,0.1024,NT,Tillage
4,OC_C,613,0.083657926,0.068966305,0.098763429,0.1024,NotAvailable,Tillage
5,N_C,266,0.111434564,0.049607818,0.176018234,0,CT,Tillage
5,N_C,14,0.201987746,0.126766741,0.27476637,0,RT,Tillage
5,N_C,205,-0.085327416,-0.174655023,0.004309871,0,NT,Tillage
5,N_C,764,-0.045564663,-0.076949886,-0.014506236,0,NotAvailable,Tillage
6,P_C,24,0.428245303,0.249238336,0.606817172,4.00E-04,CT,Tillage
6,P_C,8,0.441040499,0.237497674,0.639018691,4.00E-04,RT,Tillage
6,P_C,53,0.01111114,-0.074081988,0.091086432,4.00E-04,NT,Tillage
6,P_C,246,-0.011145253,-0.087695933,0.063390571,4.00E-04,NotAvailable,Tillage
7,K_C,16,0.310210089,0.147517402,0.476140321,0,CT,Tillage
7,K_C,13,0.307814355,0.120217877,0.490502414,0,RT,Tillage
7,K_C,50,-0.136904088,-0.208422051,-0.063633765,0,NT,Tillage
7,K_C,102,0.001014994,-0.068576042,0.070110079,0,NotAvailable,Tillage
8,pH_C,22,0.033249157,0.000966222,0.064207689,0.3711,CT,Tillage
8,pH_C,14,-0.000162606,-0.012141248,0.011258637,0.3711,RT,Tillage
8,pH_C,45,0.004322993,-0.007488622,0.016658924,0.3711,NT,Tillage
8,pH_C,170,0.010642819,0.000653904,0.020274992,0.3711,NotAvailable,Tillage
9,CEC_C,6,0.234179876,0.001322321,0.467582176,0.1632,CT,Tillage
9,CEC_C,13,0.085393082,0.03039301,0.140686989,0.1632,RT,Tillage
9,CEC_C,6,-0.018622656,-0.042892536,0.005520063,0.1632,NT,Tillage
9,CEC_C,58,0.080589944,0.029418432,0.132200204,0.1632,NotAvailable,Tillage
10,EC_C,14,-0.054706301,-0.253156259,0.142386959,0.0466,CT,Tillage
10,EC_C,14,0.382418258,0.110700555,0.659393435,0.0466,RT,Tillage
10,EC_C,2,0.155969525,0.060624622,0.251314428,0.0466,NT,Tillage
10,EC_C,21,-0.046446802,-0.233571545,0.150003125,0.0466,NotAvailable,Tillage
11,BS_C,0,NA,NA,NA,NA,CT,Tillage
11,BS_C,0,NA,NA,NA,NA,RT,Tillage
